날짜,시도지역코드,발생건수(건)
20140119,49,47
20140119,99,1505
20140120,11,8217
20140120,26,3529
20140120,27,2890
20140120,28,1913
20140120,29,1209
20140120,30,1304
20140120,31,1090
20140120,41,9234
20140120,42,1314
20140120,43,1306
20140120,44,1941
20140120,45,2376
20140120,46,1881
20140120,47,2944
20140120,48,3278
20140120,49,716
20140120,99,45154
20140121,11,7022
20140121,26,2637
20140121,27,2188
20140121,28,1522
20140121,29,774
20140121,30,1041
20140121,31,771
20140121,41,7438
20140121,42,983
20140121,43,926
20140121,44,1343
20140121,45,1464
20140121,46,1255
20140121,47,2228
20140121,48,2469
20140121,49,548
20140121,99,34616
20140122,11,7217
20140122,26,2618
20140122,27,2321
20140122,28,1710
20140122,29,982
20140122,30,1145
20140122,31,745
20140122,41,7877
20140122,42,996
20140122,43,1088
20140122,44,1599
20140122,45,1806
20140122,46,1419
20140122,47,2314
20140122,48,2638
20140122,49,499
20140122,99,36984
20140123,11,7243
20140123,26,2637
20140123,27,2328
20140123,28,1624
20140123,29,935
20140123,30,1142
20140123,31,789
20140123,41,7990
20140123,42,1164
20140123,43,1095
20140123,44,1645
20140123,45,1894
20140123,46,1459
20140123,47,2446
20140123,48,2587
20140123,49,554
20140123,99,37546
20140124,11,7999
20140124,26,2886
20140124,27,2468
20140124,28,1692
20140124,29,1049
20140124,30,1201
20140124,31,805
20140124,41,8608
20140124,42,1229
20140124,43,1263
20140124,44,1819
20140124,45,2031
20140124,46,1530
20140124,47,2599
20140124,48,2847
20140124,49,597
20140124,99,40641
20140125,11,5818
20140125,26,2146
20140125,27,1865
20140125,28,1329
20140125,29,810
20140125,30,1013
20140125,31,649
20140125,41,6822
20140125,42,792
20140125,43,929
20140125,44,1264
20140125,45,1292
20140125,46,1135
20140125,47,1797
20140125,48,2054
20140125,49,416
20140125,99,30140
20140126,11,234
20140126,26,59
20140126,27,54
20140126,28,61
20140126,29,47
20140126,30,49
20140126,31,40
20140126,41,381
20140126,42,34
20140126,43,57
20140126,44,62
20140126,45,58
20140126,46,50
20140126,47,58
20140126,48,80
20140126,49,41
20140126,99,1365
20140127,11,10184
20140127,26,3615
20140127,27,3231
20140127,28,2435
20140127,29,1274
20140127,30,1593
20140127,31,1085
20140127,41,11301
20140127,42,1667
20140127,43,1537
20140127,44,2283
20140127,45,2623
20140127,46,2095
20140127,47,3317
20140127,48,3739
20140127,49,839
20140127,99,52832
20140128,11,8408
20140128,26,3011
20140128,27,2617
20140128,28,1799
20140128,29,1036
20140128,30,1258
20140128,31,860
20140128,41,9255
20140128,42,1315
20140128,43,1224
20140128,44,1871
20140128,45,2100
20140128,46,1580
20140128,47,2679
20140128,48,2847
20140128,49,725
20140128,99,42597
20140129,11,10009
20140129,26,3249
20140129,27,3060
20140129,28,2115
20140129,29,1190
20140129,30,1402
20140129,31,1068
20140129,41,10754
20140129,42,1354
20140129,43,1368
20140129,44,1985
20140129,45,2170
20140129,46,1781
20140129,47,2982
20140129,48,3146
20140129,49,730
20140129,99,48371
20140130,11,558
20140130,26,272
20140130,27,479
20140130,28,191
20140130,29,157
20140130,30,177
20140130,31,97
20140130,41,722
20140130,42,122
20140130,43,125
20140130,44,189
20140130,45,305
20140130,46,301
20140130,47,333
20140130,48,340
20140130,49,90
20140130,99,4461
20140131,11,173
20140131,26,46
20140131,27,31
20140131,28,42
20140131,29,25
20140131,30,46
20140131,31,23
20140131,41,187
20140131,42,15
20140131,43,40
20140131,44,26
20140131,45,60
20140131,46,44
20140131,47,28
20140131,48,52
20140131,49,14
20140131,99,852
20140201,11,416
20140201,26,103
20140201,27,112
20140201,28,113
20140201,29,92
20140201,30,72
20140201,31,70
20140201,41,609
20140201,42,51
20140201,43,76
20140201,44,126
20140201,45,142
20140201,46,132
20140201,47,90
20140201,48,154
20140201,49,61
20140201,99,2420
20140202,11,284
20140202,26,56
20140202,27,90
20140202,28,95
20140202,29,48
20140202,30,45
20140202,31,35
20140202,41,459
20140202,42,33
20140202,43,44
20140202,44,66
20140202,45,53
20140202,46,77
