날짜,시군구지역코드,발생건수(건)
2023-05-01,48170,373
2023-05-01,48220,176
2023-05-01,48240,76
2023-05-01,48250,489
2023-05-01,48270,82
2023-05-01,48310,151
2023-05-01,48330,407
2023-05-01,48720,14
2023-05-01,48730,28
2023-05-01,48740,43
2023-05-01,48820,37
2023-05-01,48840,53
2023-05-01,48850,24
2023-05-01,48860,21
2023-05-01,48870,10
2023-05-01,48880,81
2023-05-01,48890,24
2023-05-01,49110,494
2023-05-01,49130,164
2023-05-02,11110,137
2023-05-02,11140,207
2023-05-02,11170,189
2023-05-02,11200,295
2023-05-02,11215,352
2023-05-02,11230,397
2023-05-02,11260,479
2023-05-02,11290,493
2023-05-02,11305,310
2023-05-02,11320,321
2023-05-02,11350,603
2023-05-02,11380,572
2023-05-02,11410,368
2023-05-02,11440,323
2023-05-02,11470,393
2023-05-02,11500,557
2023-05-02,11530,435
2023-05-02,11545,233
2023-05-02,11560,419
2023-05-02,11590,447
2023-05-02,11620,485
2023-05-02,11650,434
2023-05-02,11680,479
2023-05-02,11710,750
2023-05-02,11740,447
2023-05-02,26110,23
2023-05-02,26140,56
2023-05-02,26170,84
2023-05-02,26200,145
2023-05-02,26230,338
2023-05-02,26260,322
2023-05-02,26290,323
2023-05-02,26320,354
2023-05-02,26350,398
2023-05-02,26380,219
2023-05-02,26410,221
2023-05-02,26440,126
2023-05-02,26470,206
2023-05-02,26500,156
2023-05-02,26530,252
2023-05-02,26710,158
2023-05-02,27110,78
2023-05-02,27140,311
2023-05-02,27170,167
2023-05-02,27200,155
2023-05-02,27230,489
2023-05-02,27260,404
2023-05-02,27290,727
2023-05-02,27710,394
2023-05-02,28110,126
2023-05-02,28140,37
2023-05-02,28185,372
2023-05-02,28200,559
2023-05-02,28237,390
2023-05-02,28245,229
2023-05-02,28260,518
2023-05-02,28710,38
2023-05-02,28720,15
2023-05-02,29110,86
2023-05-02,29140,234
2023-05-02,29155,185
2023-05-02,29170,346
2023-05-02,29200,334
2023-05-02,30110,262
2023-05-02,30140,214
2023-05-02,30170,448
2023-05-02,30200,319
2023-05-02,30230,186
2023-05-02,31110,142
2023-05-02,31140,201
2023-05-02,31170,79
2023-05-02,31200,181
2023-05-02,31710,188
2023-05-02,36110,311
2023-05-02,41111,324
2023-05-02,41113,336
2023-05-02,41115,149
2023-05-02,41117,329
2023-05-02,41131,384
2023-05-02,41133,217
2023-05-02,41135,378
2023-05-02,41150,502
2023-05-02,41171,208
2023-05-02,41173,268
2023-05-02,41190,809
2023-05-02,41210,524
2023-05-02,41220,481
2023-05-02,41250,113
2023-05-02,41271,350
2023-05-02,41273,365
2023-05-02,41281,523
2023-05-02,41285,288
2023-05-02,41287,288
2023-05-02,41290,74
2023-05-02,41310,138
2023-05-02,41360,550
2023-05-02,41370,330
2023-05-02,41390,549
2023-05-02,41410,366
2023-05-02,41430,159
2023-05-02,41450,363
2023-05-02,41461,282
2023-05-02,41463,414
2023-05-02,41465,482
2023-05-02,41480,520
2023-05-02,41500,182
2023-05-02,41550,119
2023-05-02,41570,353
2023-05-02,41590,881
2023-05-02,41610,377
2023-05-02,41630,205
2023-05-02,41650,157
2023-05-02,41670,59
2023-05-02,41800,27
2023-05-02,41820,54
2023-05-02,41830,194
2023-05-02,42110,289
2023-05-02,42130,496
2023-05-02,42150,189
2023-05-02,42170,53
2023-05-02,42190,29
2023-05-02,42210,74
2023-05-02,42230,94
2023-05-02,42720,77
2023-05-02,42730,81
2023-05-02,42750,24
2023-05-02,42760,53
2023-05-02,42770,15
2023-05-02,42780,30
2023-05-02,42790,20
2023-05-02,42800,13
2023-05-02,42810,13
2023-05-02,42820,27
2023-05-02,42830,32
2023-05-02,43111,255
2023-05-02,43112,176
2023-05-02,43113,229
2023-05-02,43114,209
2023-05-02,43130,84
2023-05-02,43150,146
2023-05-02,43720,48
2023-05-02,43730,45
2023-05-02,43740,42
2023-05-02,43745,71
2023-05-02,43750,81
2023-05-02,43760,31
2023-05-02,43770,74
2023-05-02,43800,27
2023-05-02,44131,194
2023-05-02,44133,336
2023-05-02,44150,119
2023-05-02,44180,119
2023-05-02,44200,257
2023-05-02,44210,125
2023-05-02,44230,142
2023-05-02,44250,26
2023-05-02,44270,158
2023-05-02,44710,84
2023-05-02,44760,53
2023-05-02,44770,68
2023-05-02,44790,31
2023-05-02,44800,129
2023-05-02,44810,77
2023-05-02,44825,92
2023-05-02,45111,406
2023-05-02,45113,353
2023-05-02,45130,260
2023-05-02,45140,249
2023-05-02,45180,138
2023-05-02,45190,108
2023-05-02,45210,158
2023-05-02,45710,106
2023-05-02,45720,40
2023-05-02,45730,37
2023-05-02,45740,27
2023-05-02,45750,25
2023-05-02,45770,47
2023-05-02,45790,126
2023-05-02,45800,32
2023-05-02,46110,125
2023-05-02,46130,388
2023-05-02,46150,192
2023-05-02,46170,178
2023-05-02,46230,154
2023-05-02,46710,31
2023-05-02,46720,28
2023-05-02,46730,28
2023-05-02,46770,90
2023-05-02,46780,42
2023-05-02,46790,36
2023-05-02,46800,37
2023-05-02,46810,66
2023-05-02,46820,64
2023-05-02,46830,63
2023-05-02,46840,58
2023-05-02,46860,34
2023-05-02,46870,58
2023-05-02,46880,54
2023-05-02,46890,57
2023-05-02,46900,34
2023-05-02,46910,27
2023-05-02,47111,161
2023-05-02,47113,215
2023-05-02,47130,238
2023-05-02,47150,120
2023-05-02,47170,162
2023-05-02,47190,357
2023-05-02,47210,121
2023-05-02,47230,148
2023-05-02,47250,202
2023-05-02,47280,82
2023-05-02,47290,320
2023-05-02,47720,23
2023-05-02,47730,50
2023-05-02,47750,12
2023-05-02,47760,9
2023-05-02,47770,68
2023-05-02,47820,37
2023-05-02,47830,79
2023-05-02,47840,40
2023-05-02,47850,102
2023-05-02,47900,49
2023-05-02,47920,33
2023-05-02,47930,78
2023-05-02,47940,6
2023-05-02,48121,159
2023-05-02,48123,139
2023-05-02,48125,159
2023-05-02,48127,108
2023-05-02,48129,233
2023-05-02,48170,420
2023-05-02,48220,188
2023-05-02,48240,94
2023-05-02,48250,546
2023-05-02,48270,107
2023-05-02,48310,131
2023-05-02,48330,365
2023-05-02,48720,21
2023-05-02,48730,61
2023-05-02,48740,69
2023-05-02,48820,32
2023-05-02,48840,137
2023-05-02,48850,38
2023-05-02,48860,32
2023-05-02,48870,24
2023-05-02,48880,76
2023-05-02,48890,47
2023-05-02,49110,610
2023-05-02,49130,207
2023-05-03,11110,118
2023-05-03,11140,155
2023-05-03,11170,136
2023-05-03,11200,244
2023-05-03,11215,353
2023-05-03,11230,378
2023-05-03,11260,446
2023-05-03,11290,389
2023-05-03,11305,281
2023-05-03,11320,243
2023-05-03,11350,485
2023-05-03,11380,457
2023-05-03,11410,335
2023-05-03,11440,282
2023-05-03,11470,326
2023-05-03,11500,505
2023-05-03,11530,385
2023-05-03,11545,192
2023-05-03,11560,369
2023-05-03,11590,346
2023-05-03,11620,471
2023-05-03,11650,362
2023-05-03,11680,393
2023-05-03,11710,634
2023-05-03,11740,360
2023-05-03,26110,24
2023-05-03,26140,40
2023-05-03,26170,73
2023-05-03,26200,99
2023-05-03,26230,274
2023-05-03,26260,291
2023-05-03,26290,235
2023-05-03,26320,283
2023-05-03,26350,315
2023-05-03,26380,208
2023-05-03,26410,186
2023-05-03,26440,140
2023-05-03,26470,145
2023-05-03,26500,128
2023-05-03,26530,187
2023-05-03,26710,174
2023-05-03,27110,50
2023-05-03,27140,277
2023-05-03,27170,144
2023-05-03,27200,122
2023-05-03,27230,460
2023-05-03,27260,350
2023-05-03,27290,672
2023-05-03,27710,290
2023-05-03,28110,120
2023-05-03,28140,40
2023-05-03,28170,0
2023-05-03,28185,303
2023-05-03,28200,516
2023-05-03,28237,316
2023-05-03,28245,202
2023-05-03,28260,426
2023-05-03,28710,22
2023-05-03,28720,12
2023-05-03,29110,79
2023-05-03,29140,219
2023-05-03,29155,149
2023-05-03,29170,315
2023-05-03,29200,272
2023-05-03,30110,265
2023-05-03,30140,196
2023-05-03,30170,409
2023-05-03,30200,279
2023-05-03,30230,122
2023-05-03,31110,108
2023-05-03,31140,147
2023-05-03,31170,94
2023-05-03,31200,152
2023-05-03,31710,147
2023-05-03,36110,275
2023-05-03,41111,311
2023-05-03,41113,307
2023-05-03,41115,155
2023-05-03,41117,251
2023-05-03,41131,269
2023-05-03,41133,222
2023-05-03,41135,332
2023-05-03,41150,414
2023-05-03,41171,210
2023-05-03,41173,203
2023-05-03,41190,744
2023-05-03,41210,380
2023-05-03,41220,407
2023-05-03,41250,89
2023-05-03,41271,293
2023-05-03,41273,281
2023-05-03,41281,395
2023-05-03,41285,247
2023-05-03,41287,254
2023-05-03,41290,50
2023-05-03,41310,140
2023-05-03,41360,454
2023-05-03,41370,268
2023-05-03,41390,462
2023-05-03,41410,350
2023-05-03,41430,130
2023-05-03,41450,249
2023-05-03,41461,211
2023-05-03,41463,331
2023-05-03,41465,343
2023-05-03,41480,487
2023-05-03,41500,140
2023-05-03,41550,101
2023-05-03,41570,295
2023-05-03,41590,736
2023-05-03,41610,318
2023-05-03,41630,211
2023-05-03,41650,160
2023-05-03,41670,60
2023-05-03,41800,25
2023-05-03,41820,49
2023-05-03,41830,160
2023-05-03,42110,240
2023-05-03,42130,416
2023-05-03,42150,153
2023-05-03,42170,50
2023-05-03,42190,27
2023-05-03,42210,72
2023-05-03,42230,69
2023-05-03,42720,62
2023-05-03,42730,67
2023-05-03,42750,19
2023-05-03,42760,45
2023-05-03,42770,29
2023-05-03,42780,22
2023-05-03,42790,17
2023-05-03,42800,16
2023-05-03,42810,17
2023-05-03,42820,31
2023-05-03,42830,20
2023-05-03,43111,200
2023-05-03,43112,149
2023-05-03,43113,187
2023-05-03,43114,158
2023-05-03,43130,83
2023-05-03,43150,131
2023-05-03,43720,27
2023-05-03,43730,31
2023-05-03,43740,43
2023-05-03,43745,72
2023-05-03,43750,38
2023-05-03,43760,39
2023-05-03,43770,70
2023-05-03,43800,33
2023-05-03,44131,151
2023-05-03,44133,322
2023-05-03,44150,105
2023-05-03,44180,95
2023-05-03,44200,211
2023-05-03,44210,108
2023-05-03,44230,129
2023-05-03,44250,21
2023-05-03,44270,108
2023-05-03,44710,72
2023-05-03,44760,48
2023-05-03,44770,72
2023-05-03,44790,18
2023-05-03,44800,99
2023-05-03,44810,65
2023-05-03,44825,54
2023-05-03,45111,381
2023-05-03,45113,326
2023-05-03,45130,258
2023-05-03,45140,201
2023-05-03,45180,123
2023-05-03,45190,83
2023-05-03,45210,108
2023-05-03,45710,90
2023-05-03,45720,40
