날짜,시도지역코드,발생건수(건)
2023-05-15,11,10813
2023-05-15,26,3757
2023-05-15,27,2947
2023-05-15,28,2885
2023-05-15,29,1438
2023-05-15,30,1600
2023-05-15,31,914
2023-05-15,41,15166
2023-05-15,42,1601
2023-05-15,43,1737
2023-05-15,44,2684
2023-05-15,45,2464
2023-05-15,46,2033
2023-05-15,47,2918
2023-05-15,48,3554
2023-05-15,49,957
2023-05-15,99,57477
2023-05-16,11,8414
2023-05-16,26,2960
2023-05-16,27,2359
2023-05-16,28,2324
2023-05-16,29,1116
2023-05-16,30,1257
2023-05-16,31,651
2023-05-16,41,11912
2023-05-16,42,1376
2023-05-16,43,1359
2023-05-16,44,2124
2023-05-16,45,1936
2023-05-16,46,1634
2023-05-16,47,2319
2023-05-16,48,2771
2023-05-16,49,789
2023-05-16,99,45305
2023-05-17,11,7742
2023-05-17,26,2531
2023-05-17,27,2151
2023-05-17,28,2088
2023-05-17,29,964
2023-05-17,30,1208
2023-05-17,31,596
2023-05-17,41,10665
2023-05-17,42,1177
2023-05-17,43,1238
2023-05-17,44,1877
2023-05-17,45,1860
2023-05-17,46,1404
2023-05-17,47,2104
2023-05-17,48,2538
2023-05-17,49,797
2023-05-17,99,40949
2023-05-18,11,7368
2023-05-18,26,2236
2023-05-18,27,1980
2023-05-18,28,1778
2023-05-18,29,927
2023-05-18,30,1216
2023-05-18,31,597
2023-05-18,41,10306
2023-05-18,42,1248
2023-05-18,43,1234
2023-05-18,44,1967
2023-05-18,45,1836
2023-05-18,46,1464
2023-05-18,47,2071
2023-05-18,48,2388
2023-05-18,49,757
2023-05-18,99,39377
2023-05-19,11,8837
2023-05-19,26,2968
2023-05-19,27,2424
2023-05-19,28,2321
2023-05-19,29,1105
2023-05-19,30,1399
2023-05-19,31,695
2023-05-19,41,12443
2023-05-19,42,1393
2023-05-19,43,1469
2023-05-19,44,2095
2023-05-19,45,1942
2023-05-19,46,1633
2023-05-19,47,2400
2023-05-19,48,2805
2023-05-19,49,746
