날짜,시도지역코드,발생건수(건)
2023-05-14,49,28
2023-05-14,99,2394
2023-05-15,11,14299
2023-05-15,26,5403
2023-05-15,27,3849
2023-05-15,28,4816
2023-05-15,29,2167
2023-05-15,30,2603
2023-05-15,31,1563
2023-05-15,41,19355
2023-05-15,42,2137
2023-05-15,43,2805
2023-05-15,44,3992
2023-05-15,45,2930
2023-05-15,46,3135
2023-05-15,47,3655
2023-05-15,48,5176
2023-05-15,49,924
2023-05-15,99,78820
2023-05-16,11,11201
2023-05-16,26,4154
2023-05-16,27,3033
2023-05-16,28,3712
2023-05-16,29,1608
2023-05-16,30,1957
2023-05-16,31,1228
2023-05-16,41,14729
2023-05-16,42,1739
2023-05-16,43,2109
2023-05-16,44,2947
2023-05-16,45,2116
2023-05-16,46,2420
2023-05-16,47,2883
2023-05-16,48,3956
2023-05-16,49,735
2023-05-16,99,60537
2023-05-17,11,9546
2023-05-17,26,3624
2023-05-17,27,2602
2023-05-17,28,3173
2023-05-17,29,1376
2023-05-17,30,1647
2023-05-17,31,1069
2023-05-17,41,12485
2023-05-17,42,1424
2023-05-17,43,1694
2023-05-17,44,2503
2023-05-17,45,1737
2023-05-17,46,2058
2023-05-17,47,2539
2023-05-17,48,3651
2023-05-17,49,697
2023-05-17,99,51830
2023-05-18,11,9545
2023-05-18,26,3226
2023-05-18,27,2532
2023-05-18,28,3177
2023-05-18,29,1477
2023-05-18,30,1588
2023-05-18,31,1012
2023-05-18,41,12757
2023-05-18,42,1473
2023-05-18,43,1802
2023-05-18,44,2688
2023-05-18,45,1945
2023-05-18,46,2273
2023-05-18,47,2578
2023-05-18,48,3478
2023-05-18,49,700
2023-05-18,99,52257
2023-05-19,11,12104
2023-05-19,26,4309
2023-05-19,27,3193
2023-05-19,28,3925
2023-05-19,29,1803
2023-05-19,30,2026
2023-05-19,31,1368
2023-05-19,41,15994
2023-05-19,42,1831
2023-05-19,43,2356
2023-05-19,44,3146
2023-05-19,45,2302
2023-05-19,46,2589
2023-05-19,47,3100
2023-05-19,48,4342
2023-05-19,49,777
2023-05-19,99,65172
2023-05-20,11,8224
2023-05-20,26,2852
2023-05-20,27,2248
2023-05-20,28,2897
2023-05-20,29,1239
2023-05-20,30,1374
2023-05-20,31,829
2023-05-20,41,11697
2023-05-20,42,860
2023-05-20,43,1519
2023-05-20,44,1931
2023-05-20,45,1420
2023-05-20,46,1749
2023-05-20,47,2014
2023-05-20,48,2986
2023-05-20,49,478
2023-05-20,99,44321
2023-05-21,11,482
2023-05-21,26,209
2023-05-21,27,78
2023-05-21,28,168
2023-05-21,29,17
2023-05-21,30,134
2023-05-21,31,87
2023-05-21,41,867
2023-05-21,42,54
2023-05-21,43,87
2023-05-21,44,153
2023-05-21,45,57
2023-05-21,46,60
2023-05-21,47,86
2023-05-21,48,144
2023-05-21,49,33
2023-05-21,99,2717
2023-05-22,11,14597
2023-05-22,26,5411
2023-05-22,27,3921
2023-05-22,28,4799
2023-05-22,29,2209
2023-05-22,30,2400
2023-05-22,31,1668
2023-05-22,41,19293
2023-05-22,42,2183
2023-05-22,43,2644
2023-05-22,44,3841
2023-05-22,45,2892
2023-05-22,46,3317
2023-05-22,47,3799
2023-05-22,48,5401
2023-05-22,49,987
2023-05-22,99,79365
2023-05-23,11,11438
2023-05-23,26,4216
2023-05-23,27,3062
2023-05-23,28,3618
2023-05-23,29,1696
2023-05-23,30,1894
2023-05-23,31,1242
2023-05-23,41,15237
2023-05-23,42,1626
2023-05-23,43,1964
2023-05-23,44,2781
2023-05-23,45,2098
2023-05-23,46,2421
2023-05-23,47,3005
2023-05-23,48,4248
2023-05-23,49,817
2023-05-23,99,61368
2023-05-24,11,9906
2023-05-24,26,3920
2023-05-24,27,2767
2023-05-24,28,3207
2023-05-24,29,1368
2023-05-24,30,1620
2023-05-24,31,1117
2023-05-24,41,13073
2023-05-24,42,1399
2023-05-24,43,1695
2023-05-24,44,2500
2023-05-24,45,1718
2023-05-24,46,2165
2023-05-24,47,2585
2023-05-24,48,3547
2023-05-24,49,704
2023-05-24,99,53293
2023-05-25,11,10257
2023-05-25,26,3669
2023-05-25,27,2815
2023-05-25,28,3229
2023-05-25,29,1488
2023-05-25,30,1677
2023-05-25,31,1145
2023-05-25,41,13526
2023-05-25,42,1409
2023-05-25,43,1792
2023-05-25,44,2743
2023-05-25,45,1911
