날짜,시군구지역코드,발생건수(건)
2023-05-01,48170,117
2023-05-01,48220,102
2023-05-01,48240,42
2023-05-01,48250,331
2023-05-01,48270,56
2023-05-01,48310,112
2023-05-01,48330,118
2023-05-01,48720,22
2023-05-01,48730,29
2023-05-01,48740,33
2023-05-01,48820,50
2023-05-01,48840,15
2023-05-01,48850,23
2023-05-01,48860,11
2023-05-01,48870,26
2023-05-01,48880,67
2023-05-01,48890,32
2023-05-01,49110,202
2023-05-01,49130,66
2023-05-02,11110,58
2023-05-02,11140,79
2023-05-02,11170,77
2023-05-02,11200,140
2023-05-02,11215,200
2023-05-02,11230,174
2023-05-02,11260,245
2023-05-02,11290,215
2023-05-02,11305,196
2023-05-02,11320,189
2023-05-02,11350,201
2023-05-02,11380,333
2023-05-02,11410,207
2023-05-02,11440,146
2023-05-02,11470,243
2023-05-02,11500,251
2023-05-02,11530,208
2023-05-02,11545,69
2023-05-02,11560,196
2023-05-02,11590,266
2023-05-02,11620,216
2023-05-02,11650,233
2023-05-02,11680,273
2023-05-02,11710,319
2023-05-02,11740,227
2023-05-02,26110,24
2023-05-02,26140,48
2023-05-02,26170,61
2023-05-02,26200,82
2023-05-02,26230,228
2023-05-02,26260,196
2023-05-02,26290,125
2023-05-02,26320,268
2023-05-02,26350,194
2023-05-02,26380,170
2023-05-02,26410,118
2023-05-02,26440,69
2023-05-02,26470,143
2023-05-02,26500,74
2023-05-02,26530,84
2023-05-02,26710,88
2023-05-02,27110,40
2023-05-02,27140,193
2023-05-02,27170,102
2023-05-02,27200,71
2023-05-02,27230,206
2023-05-02,27260,243
2023-05-02,27290,295
2023-05-02,27710,136
2023-05-02,28110,51
2023-05-02,28140,37
2023-05-02,28185,145
2023-05-02,28200,241
2023-05-02,28237,323
2023-05-02,28245,159
2023-05-02,28260,370
2023-05-02,28710,66
2023-05-02,28720,4
2023-05-02,29110,113
2023-05-02,29140,155
2023-05-02,29155,190
2023-05-02,29170,289
2023-05-02,29200,188
2023-05-02,30110,125
2023-05-02,30140,88
2023-05-02,30170,244
2023-05-02,30200,244
2023-05-02,30230,100
2023-05-02,31110,141
2023-05-02,31140,203
2023-05-02,31170,61
2023-05-02,31200,147
2023-05-02,31710,119
2023-05-02,36110,276
2023-05-02,41111,157
2023-05-02,41113,246
2023-05-02,41115,149
2023-05-02,41117,189
2023-05-02,41131,134
2023-05-02,41133,101
2023-05-02,41135,200
2023-05-02,41150,203
2023-05-02,41171,111
2023-05-02,41173,190
2023-05-02,41190,520
2023-05-02,41210,122
2023-05-02,41220,382
2023-05-02,41250,35
2023-05-02,41271,152
2023-05-02,41273,201
2023-05-02,41281,259
2023-05-02,41285,148
2023-05-02,41287,125
2023-05-02,41290,29
2023-05-02,41310,98
2023-05-02,41360,390
2023-05-02,41370,108
2023-05-02,41390,202
2023-05-02,41410,127
2023-05-02,41430,79
