날짜,시도지역코드,발생건수(건)
2023-05-14,44,5787
2023-05-14,45,2831
2023-05-14,46,3972
2023-05-14,47,3259
2023-05-14,48,4133
2023-05-14,49,1900
2023-05-14,99,100008
2023-05-15,11,142118
2023-05-15,26,48524
2023-05-15,27,35231
2023-05-15,28,45745
2023-05-15,29,21326
2023-05-15,30,23677
2023-05-15,31,17439
2023-05-15,41,222746
2023-05-15,42,19924
2023-05-15,43,22838
2023-05-15,44,40290
2023-05-15,45,26713
2023-05-15,46,25357
2023-05-15,47,34096
2023-05-15,48,45949
2023-05-15,49,10523
2023-05-15,99,782614
2023-05-16,11,97300
2023-05-16,26,33806
2023-05-16,27,24651
2023-05-16,28,31692
2023-05-16,29,14908
2023-05-16,30,16806
2023-05-16,31,11879
2023-05-16,41,155178
2023-05-16,42,14131
2023-05-16,43,16464
2023-05-16,44,28419
2023-05-16,45,18176
2023-05-16,46,17874
2023-05-16,47,23678
2023-05-16,48,31870
2023-05-16,49,7778
2023-05-16,99,544700
2023-05-17,11,86159
2023-05-17,26,29929
2023-05-17,27,21328
2023-05-17,28,27836
2023-05-17,29,12980
2023-05-17,30,15097
2023-05-17,31,10687
2023-05-17,41,133423
2023-05-17,42,11622
2023-05-17,43,13847
2023-05-17,44,24227
2023-05-17,45,15845
2023-05-17,46,15430
2023-05-17,47,20769
2023-05-17,48,27664
2023-05-17,49,6717
2023-05-17,99,473631
2023-05-18,11,90486
2023-05-18,26,30410
2023-05-18,27,23234
2023-05-18,28,29509
2023-05-18,29,13667
2023-05-18,30,15908
2023-05-18,31,11144
2023-05-18,41,144636
2023-05-18,42,13610
2023-05-18,43,15737
2023-05-18,44,26257
2023-05-18,45,17540
2023-05-18,46,16372
2023-05-18,47,22433
2023-05-18,48,28694
2023-05-18,49,7269
2023-05-18,99,506980
2023-05-19,11,99913
2023-05-19,26,36194
2023-05-19,27,26689
2023-05-19,28,30913
2023-05-19,29,15106
2023-05-19,30,16985
2023-05-19,31,12880
2023-05-19,41,154917
2023-05-19,42,14439
2023-05-19,43,16773
2023-05-19,44,28096
2023-05-19,45,18425
2023-05-19,46,17953
2023-05-19,47,24780
2023-05-19,48,33062
2023-05-19,49,7859
2023-05-19,99,555059
2023-05-20,11,75067
2023-05-20,26,25220
2023-05-20,27,19096
2023-05-20,28,23571
2023-05-20,29,11421
2023-05-20,30,12512
2023-05-20,31,9291
2023-05-20,41,116580
2023-05-20,42,9321
2023-05-20,43,11648
2023-05-20,44,20555
2023-05-20,45,12551
2023-05-20,46,13121
2023-05-20,47,17023
2023-05-20,48,23760
2023-05-20,49,5580
2023-05-20,99,406386
2023-05-21,11,14259
2023-05-21,26,5123
2023-05-21,27,3114
2023-05-21,28,5785
2023-05-21,29,2445
2023-05-21,30,4654
2023-05-21,31,1695
2023-05-21,41,32865
2023-05-21,42,1807
2023-05-21,43,3485
2023-05-21,44,5366
2023-05-21,45,2723
2023-05-21,46,3616
2023-05-21,47,3016
2023-05-21,48,4571
2023-05-21,49,1905
2023-05-21,99,96442
2023-05-22,11,131310
2023-05-22,26,46853
2023-05-22,27,34487
2023-05-22,28,41775
2023-05-22,29,19614
2023-05-22,30,21536
2023-05-22,31,16810
2023-05-22,41,205599
2023-05-22,42,18892
2023-05-22,43,21372
