날짜,시도지역코드,발생건수(건)
2023-06-16,43,12183
2023-06-16,44,21359
2023-06-16,45,13975
2023-06-16,46,13026
2023-06-16,47,17732
2023-06-16,48,25581
2023-06-16,49,6424
2023-06-16,99,422796
2023-06-17,11,59213
2023-06-17,26,20811
2023-06-17,27,13077
2023-06-17,28,19520
2023-06-17,29,8800
2023-06-17,30,8997
2023-06-17,31,6663
2023-06-17,41,91929
2023-06-17,42,1
2023-06-17,43,8780
2023-06-17,44,16067
2023-06-17,45,9694
2023-06-17,46,9764
2023-06-17,47,12119
2023-06-17,48,19019
2023-06-17,49,4585
2023-06-17,99,315477
2023-06-18,11,10906
2023-06-18,26,4383
2023-06-18,27,2164
2023-06-18,28,4915
2023-06-18,29,2106
2023-06-18,30,3575
2023-06-18,31,1409
2023-06-18,41,26954
2023-06-18,42,0
2023-06-18,43,2726
2023-06-18,44,4448
2023-06-18,45,2100
2023-06-18,46,2950
2023-06-18,47,2421
2023-06-18,48,3693
2023-06-18,49,1540
2023-06-18,99,77697
2023-06-19,11,97972
2023-06-19,26,36978
2023-06-19,27,22804
2023-06-19,28,32878
2023-06-19,29,14770
2023-06-19,30,14985
2023-06-19,31,12790
2023-06-19,41,155895
2023-06-19,42,2
2023-06-19,43,15461
2023-06-19,44,28104
2023-06-19,45,17789
2023-06-19,46,16569
2023-06-19,47,23064
2023-06-19,48,33835
2023-06-19,49,8167
2023-06-19,99,544771
2023-06-20,11,68597
2023-06-20,26,25566
2023-06-20,27,16244
2023-06-20,28,23369
2023-06-20,29,10380
2023-06-20,30,10839
2023-06-20,31,8688
2023-06-20,41,111523
2023-06-20,42,1
2023-06-20,43,11202
2023-06-20,44,19738
2023-06-20,45,12630
2023-06-20,46,11983
2023-06-20,47,16683
2023-06-20,48,23256
2023-06-20,49,6009
2023-06-20,99,385718
2023-06-21,11,61138
2023-06-21,26,22595
2023-06-21,27,14470
2023-06-21,28,21674
2023-06-21,29,9096
2023-06-21,30,9884
2023-06-21,31,7978
2023-06-21,41,99936
2023-06-21,42,1
2023-06-21,43,9684
2023-06-21,44,17667
2023-06-21,45,11105
2023-06-21,46,10990
2023-06-21,47,15076
2023-06-21,48,21237
2023-06-21,49,4930
2023-06-21,99,345332
2023-06-22,11,68205
2023-06-22,26,24841
2023-06-22,27,15769
2023-06-22,28,23708
2023-06-22,29,9897
2023-06-22,30,10812
2023-06-22,31,8483
2023-06-22,41,110574
2023-06-22,42,0
2023-06-22,43,10829
2023-06-22,44,19723
2023-06-22,45,12472
2023-06-22,46,11452
2023-06-22,47,15725
2023-06-22,48,22522
2023-06-22,49,5479
2023-06-22,99,379458
2023-06-23,11,75716
2023-06-23,26,27573
2023-06-23,27,17278
2023-06-23,28,25576
2023-06-23,29,10726
2023-06-23,30,11461
2023-06-23,31,9353
2023-06-23,41,120579
2023-06-23,42,1
2023-06-23,43,11637
2023-06-23,44,21056
2023-06-23,45,13469
2023-06-23,46,12396
2023-06-23,47,17380
2023-06-23,48,25077
2023-06-23,49,5793
2023-06-23,99,414756
2023-06-24,11,56873
2023-06-24,26,20348
2023-06-24,27,13208
2023-06-24,28,19161
2023-06-24,29,8584
2023-06-24,30,9072
2023-06-24,31,6955
2023-06-24,41,90812
2023-06-24,42,1
2023-06-24,43,8814
2023-06-24,44,15931
2023-06-24,45,9423
2023-06-24,46,9429
2023-06-24,47,12214
2023-06-24,48,18319
2023-06-24,49,4371
2023-06-24,99,309843
2023-06-25,11,10773
2023-06-25,26,3836
2023-06-25,27,2348
2023-06-25,28,4731
2023-06-25,29,2163
2023-06-25,30,3585
2023-06-25,31,1369
2023-06-25,41,26844
2023-06-25,42,0
2023-06-25,43,2859
2023-06-25,44,4378
2023-06-25,45,2186
2023-06-25,46,3066
2023-06-25,47,2402
2023-06-25,48,3578
2023-06-25,49,1237
2023-06-25,99,76629
2023-06-26,11,95850
2023-06-26,26,34452
2023-06-26,27,22440
2023-06-26,28,33251
2023-06-26,29,13658
2023-06-26,30,14143
2023-06-26,31,12337
2023-06-26,41,154305
2023-06-26,42,4
2023-06-26,43,14954
2023-06-26,44,27816
2023-06-26,45,17695
2023-06-26,46,16239
2023-06-26,47,22781
2023-06-26,48,32554
2023-06-26,49,7832
2023-06-26,99,533131
2023-06-27,11,68245
2023-06-27,26,23568
2023-06-27,27,15029
2023-06-27,28,23696
2023-06-27,29,9762
2023-06-27,30,10025
2023-06-27,31,8244
2023-06-27,41,110763
2023-06-27,42,1
2023-06-27,43,10939
2023-06-27,44,19772
2023-06-27,45,11940
2023-06-27,46,11870
2023-06-27,47,15931
2023-06-27,48,22230
2023-06-27,49,5224
2023-06-27,99,376171
2023-06-28,11,61742
2023-06-28,26,21567
2023-06-28,27,13945
2023-06-28,28,21594
2023-06-28,29,8326
2023-06-28,30,9175
2023-06-28,31,7755
2023-06-28,41,97668
2023-06-28,42,2
2023-06-28,43,9488
2023-06-28,44,17551
2023-06-28,45,10281
2023-06-28,46,10353
2023-06-28,47,14549
2023-06-28,48,19897
2023-06-28,49,4581
2023-06-28,99,336123
2023-06-29,11,59713
2023-06-29,26,23390
2023-06-29,27,14780
2023-06-29,28,21342
2023-06-29,29,9157
2023-06-29,30,9391
2023-06-29,31,8234
2023-06-29,41,99178
2023-06-29,42,2
2023-06-29,43,10105
2023-06-29,44,17985
2023-06-29,45,11437
2023-06-29,46,11082
2023-06-29,47,15340
2023-06-29,48,21677
2023-06-29,49,5244
2023-06-29,99,346521
2023-06-30,11,77214
2023-06-30,26,26290
2023-06-30,27,16559
2023-06-30,28,26391
2023-06-30,29,10522
2023-06-30,30,10992
2023-06-30,31,9140
2023-06-30,41,123697
2023-06-30,42,1
2023-06-30,43,12519
2023-06-30,44,21835
2023-06-30,45,13313
2023-06-30,46,12332
2023-06-30,47,16945
2023-06-30,48,24649
2023-06-30,49,5080
2023-06-30,99,417380
2023-07-01,11,58377
2023-07-01,26,20783
2023-07-01,27,13965
2023-07-01,28,20221
2023-07-01,29,8657
2023-07-01,30,9485
2023-07-01,31,7384
2023-07-01,41,95072
2023-07-01,42,1
2023-07-01,43,9237
2023-07-01,44,17048
2023-07-01,45,9879
2023-07-01,46,10021
2023-07-01,47,13452
2023-07-01,48,19750
2023-07-01,49,4375
2023-07-01,99,324700
2023-07-02,11,11708
2023-07-02,26,4527
2023-07-02,27,2416
2023-07-02,28,5600
2023-07-02,29,2156
2023-07-02,30,3861
2023-07-02,31,1467
2023-07-02,41,28622
2023-07-02,43,3068
2023-07-02,44,4777
2023-07-02,45,2191
2023-07-02,46,3021
2023-07-02,47,2373
2023-07-02,48,3906
2023-07-02,49,1421
2023-07-02,99,82526
2023-07-03,11,96249
2023-07-03,26,35986
2023-07-03,27,22824
2023-07-03,28,33504
2023-07-03,29,13450
2023-07-03,30,14924
2023-07-03,31,12921
2023-07-03,41,157567
2023-07-03,42,2
2023-07-03,43,15640
2023-07-03,44,28532
2023-07-03,45,17468
2023-07-03,46,16517
2023-07-03,47,23045
2023-07-03,48,34901
2023-07-03,49,7245
2023-07-03,99,543818
2023-07-04,11,64661
2023-07-04,26,24485
2023-07-04,27,15821
2023-07-04,28,21652
2023-07-04,29,9573
2023-07-04,30,10370
2023-07-04,31,8813
2023-07-04,41,107815
2023-07-04,42,1
2023-07-04,43,10988
2023-07-04,44,19379
2023-07-04,45,11813
2023-07-04,46,11677
2023-07-04,47,16298
2023-07-04,48,23826
2023-07-04,49,5286
2023-07-04,99,371592
2023-07-05,11,65501
2023-07-05,26,23311
2023-07-05,27,15019
2023-07-05,28,23222
2023-07-05,29,9035
2023-07-05,30,10726
2023-07-05,31,8121
2023-07-05,41,109288
2023-07-05,42,2
2023-07-05,43,10657
2023-07-05,44,19718
2023-07-05,45,11408
2023-07-05,46,11362
2023-07-05,47,15063
2023-07-05,48,22309
2023-07-05,49,4633
2023-07-05,99,367686
2023-07-06,11,71361
2023-07-06,26,25879
2023-07-06,27,16466
2023-07-06,28,25201
2023-07-06,29,9974
2023-07-06,30,11941
2023-07-06,31,8869
2023-07-06,41,119149
2023-07-06,42,2
2023-07-06,43,12163
2023-07-06,44,21763
2023-07-06,45,12858
2023-07-06,46,11982
2023-07-06,47,16364
2023-07-06,48,24846
2023-07-06,49,5322
2023-07-06,99,403620
2023-07-07,11,80092
2023-07-07,26,26128
2023-07-07,27,16461
2023-07-07,28,27554
2023-07-07,29,10798
2023-07-07,30,11269
2023-07-07,31,9584
2023-07-07,41,131844
2023-07-07,42,1
2023-07-07,43,12744
2023-07-07,44,23233
2023-07-07,45,13768
2023-07-07,46,12512
2023-07-07,47,17193
2023-07-07,48,25405
2023-07-07,49,6099
2023-07-07,99,435199
2023-07-08,11,63961
2023-07-08,26,21604
2023-07-08,27,15423
2023-07-08,28,22454
2023-07-08,29,9397
2023-07-08,30,11112
