날짜,시도지역코드,발생건수(건)
2023-05-15,28,1862
2023-05-15,29,951
2023-05-15,30,880
2023-05-15,31,779
2023-05-15,41,7928
2023-05-15,42,1015
2023-05-15,43,1145
2023-05-15,44,1927
2023-05-15,45,1411
2023-05-15,46,1583
2023-05-15,47,1755
2023-05-15,48,2173
2023-05-15,49,477
2023-05-15,99,32902
2023-05-16,11,4014
2023-05-16,26,1533
2023-05-16,27,1133
2023-05-16,28,1380
2023-05-16,29,690
2023-05-16,30,668
2023-05-16,31,545
2023-05-16,41,5710
2023-05-16,42,750
2023-05-16,43,814
2023-05-16,44,1492
2023-05-16,45,1086
2023-05-16,46,1271
2023-05-16,47,1294
2023-05-16,48,1617
2023-05-16,49,349
2023-05-16,99,24352
2023-05-17,11,3672
2023-05-17,26,1454
2023-05-17,27,1078
2023-05-17,28,1267
2023-05-17,29,579
2023-05-17,30,636
2023-05-17,31,523
2023-05-17,41,5244
2023-05-17,42,675
2023-05-17,43,717
2023-05-17,44,1246
2023-05-17,45,930
2023-05-17,46,1129
2023-05-17,47,1157
2023-05-17,48,1427
2023-05-17,49,284
2023-05-17,99,22020
2023-05-18,11,3685
2023-05-18,26,1367
2023-05-18,27,1081
2023-05-18,28,1300
2023-05-18,29,717
2023-05-18,30,574
2023-05-18,31,488
2023-05-18,41,5331
2023-05-18,42,632
2023-05-18,43,740
2023-05-18,44,1358
2023-05-18,45,917
2023-05-18,46,1174
2023-05-18,47,1286
2023-05-18,48,1425
2023-05-18,49,364
2023-05-18,99,22440
2023-05-19,11,4136
2023-05-19,26,1617
2023-05-19,27,1253
2023-05-19,28,1348
2023-05-19,29,758
2023-05-19,30,668
2023-05-19,31,621
2023-05-19,41,5876
2023-05-19,42,719
2023-05-19,43,851
2023-05-19,44,1487
2023-05-19,45,1061
2023-05-19,46,1285
2023-05-19,47,1308
2023-05-19,48,1684
2023-05-19,49,391
2023-05-19,99,25064
2023-05-20,11,2752
2023-05-20,26,967
2023-05-20,27,845
2023-05-20,28,977
2023-05-20,29,474
2023-05-20,30,443
2023-05-20,31,452
2023-05-20,41,4247
2023-05-20,42,432
2023-05-20,43,503
2023-05-20,44,972
2023-05-20,45,586
2023-05-20,46,809
2023-05-20,47,763
2023-05-20,48,1109
2023-05-20,49,224
2023-05-20,99,16555
2023-05-21,11,276
2023-05-21,26,107
2023-05-21,27,127
2023-05-21,28,227
2023-05-21,29,67
2023-05-21,30,96
2023-05-21,31,32
2023-05-21,41,949
2023-05-21,42,61
2023-05-21,43,69
2023-05-21,44,306
2023-05-21,45,69
2023-05-21,46,168
2023-05-21,47,88
2023-05-21,48,150
2023-05-21,49,17
2023-05-21,99,2809
2023-05-22,11,5202
2023-05-22,26,1999
2023-05-22,27,1465
2023-05-22,28,1702
2023-05-22,29,924
2023-05-22,30,864
2023-05-22,31,740
2023-05-22,41,7179
2023-05-22,42,874
2023-05-22,43,1009
2023-05-22,44,1930
2023-05-22,45,1374
2023-05-22,46,1614
2023-05-22,47,1704
2023-05-22,48,2061
2023-05-22,49,488
2023-05-22,99,31130
2023-05-23,11,3701
2023-05-23,26,1574
2023-05-23,27,1048
2023-05-23,28,1314
2023-05-23,29,681
2023-05-23,30,573
2023-05-23,31,520
2023-05-23,41,5519
2023-05-23,42,635
2023-05-23,43,773
2023-05-23,44,1393
2023-05-23,45,993
2023-05-23,46,1160
2023-05-23,47,1277
2023-05-23,48,1486
2023-05-23,49,411
2023-05-23,99,23062
2023-05-24,11,3646
2023-05-24,26,1388
2023-05-24,27,1046
2023-05-24,28,1172
2023-05-24,29,574
2023-05-24,30,583
2023-05-24,31,508
2023-05-24,41,4818
2023-05-24,42,599
2023-05-24,43,634
2023-05-24,44,1200
2023-05-24,45,874
2023-05-24,46,1037
2023-05-24,47,1135
2023-05-24,48,1375
2023-05-24,49,297
2023-05-24,99,20886
2023-05-25,11,3702
2023-05-25,26,1519
2023-05-25,27,1069
2023-05-25,28,1281
2023-05-25,29,707
2023-05-25,30,610
2023-05-25,31,533
2023-05-25,41,5240
2023-05-25,42,613
2023-05-25,43,708
2023-05-25,44,1298
2023-05-25,45,890
2023-05-25,46,1094
2023-05-25,47,1227
2023-05-25,48,1523
2023-05-25,49,404
2023-05-25,99,22419
2023-05-26,11,4376
2023-05-26,26,1702
2023-05-26,27,1192
2023-05-26,28,1435
2023-05-26,29,852
2023-05-26,30,714
2023-05-26,31,625
2023-05-26,41,6197
2023-05-26,42,661
2023-05-26,43,899
2023-05-26,44,1443
2023-05-26,45,1149
2023-05-26,46,1267
2023-05-26,47,1451
2023-05-26,48,1764
2023-05-26,49,445
2023-05-26,99,26173
2023-05-27,11,414
2023-05-27,26,162
2023-05-27,27,255
2023-05-27,28,315
2023-05-27,29,171
2023-05-27,30,197
2023-05-27,31,140
2023-05-27,41,1246
2023-05-27,42,66
2023-05-27,43,162
2023-05-27,44,400
2023-05-27,45,131
2023-05-27,46,298
2023-05-27,47,209
2023-05-27,48,407
2023-05-27,49,59
2023-05-27,99,4632
2023-05-28,11,264
2023-05-28,26,97
2023-05-28,27,91
2023-05-28,28,205
2023-05-28,29,65
2023-05-28,30,112
2023-05-28,31,32
2023-05-28,41,797
2023-05-28,42,55
2023-05-28,43,87
2023-05-28,44,289
2023-05-28,45,75
2023-05-28,46,160
2023-05-28,47,106
2023-05-28,48,151
2023-05-28,49,27
2023-05-28,99,2613
2023-05-29,11,1987
2023-05-29,26,855
2023-05-29,27,661
2023-05-29,28,932
2023-05-29,29,446
2023-05-29,30,411
2023-05-29,31,357
2023-05-29,41,3540
2023-05-29,42,313
2023-05-29,43,484
2023-05-29,44,1043
2023-05-29,45,546
2023-05-29,46,840
2023-05-29,47,716
2023-05-29,48,1174
2023-05-29,49,157
2023-05-29,99,14463
2023-05-30,11,4879
2023-05-30,26,1965
2023-05-30,27,1400
2023-05-30,28,1603
2023-05-30,29,935
2023-05-30,30,725
2023-05-30,31,682
2023-05-30,41,6864
2023-05-30,42,914
2023-05-30,43,946
2023-05-30,44,1706
2023-05-30,45,1381
2023-05-30,46,1521
2023-05-30,47,1714
2023-05-30,48,1977
2023-05-30,49,493
2023-05-30,99,29708
2023-05-31,11,3493
2023-05-31,26,1356
2023-05-31,27,984
2023-05-31,28,1195
2023-05-31,29,575
2023-05-31,30,530
2023-05-31,31,472
2023-05-31,41,4851
2023-05-31,42,628
2023-05-31,43,649
2023-05-31,44,1125
2023-05-31,45,894
2023-05-31,46,1064
2023-05-31,47,1108
2023-05-31,48,1418
2023-05-31,49,277
2023-05-31,99,20621
2023-06-01,11,3542
2023-06-01,26,1538
2023-06-01,27,1056
